movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
60,10436,4.5,1244447744,1,1995,Adventure,Children,Fantasy,1376,3.09,1.03,107,661,"","","",2,1996,0.00,4.25,0.35,Adventure,Musical,Children,Fantasy,Comedy
367,10436,4.0,1254724619,1,1994,Action,Comedy,Crime,7577,3.16,1.00,736,595,47,344,588,17,1987,16.41,4.38,0.42,Adventure,Children,Comedy,Musical,Thriller
34,10436,3.5,1254724652,1,1995,Children,Drama,"",7042,3.63,1.11,500,367,736,595,47,19,1987,15.61,4.34,0.41,Adventure,Comedy,Children,Musical,Fantasy
50,11078,3.5,1286031899,1,1995,Crime,Mystery,Thriller,10221,4.35,0.75,608,1,150,457,593,13,1994,1.32,3.58,0.73,Thriller,Drama,Comedy,Crime,Adventure
73,11563,3.5,1217542750,1,1995,Drama,War,"",670,3.77,1.06,782,147,382,"","",3,1995,1.00,3.83,0.29,Drama,Thriller,Romance,Horror,""
47,11563,4.5,1217543559,1,1995,Mystery,Thriller,"",9335,4.06,0.87,32,527,858,73,782,8,1992,8.14,3.56,1.08,Drama,Thriller,War,Sci-Fi,Romance
34,11563,1.0,1217545133,0,1995,Children,Drama,"",7042,3.63,1.11,597,364,648,344,590,31,1993,4.39,3.65,1.12,Drama,Thriller,Action,Adventure,Comedy
292,11563,4.5,1217545166,1,1995,Action,Drama,Sci-Fi,5649,3.40,0.86,231,597,364,648,344,34,1993,4.21,3.51,1.19,Drama,Thriller,Adventure,Comedy,Action
6,11563,2.0,1217546044,0,1995,Action,Crime,Thriller,5245,3.84,0.86,208,150,292,231,597,43,1993,3.84,3.23,1.39,Drama,Thriller,Adventure,Action,Comedy
296,13192,4.0,1268616012,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,293,750,858,527,"",5,1983,14.35,4.20,1.25,Drama,Crime,War,Action,Thriller
110,13192,4.5,1268616167,1,1995,Action,Drama,War,11637,4.04,0.97,150,260,480,593,356,13,1987,10.36,4.35,0.80,Thriller,Drama,Action,Crime,Sci-Fi
588,13192,4.0,1268616202,1,1992,Adventure,Animation,Children,8980,3.67,0.92,380,590,780,589,1,20,1989,8.77,4.35,0.67,Action,Thriller,Drama,Adventure,Sci-Fi
344,13192,4.0,1268616210,1,1994,Comedy,"","",8273,2.98,1.11,377,588,380,590,780,22,1989,8.42,4.30,0.67,Action,Thriller,Adventure,Drama,Comedy
780,13610,3.5,1212214878,1,1996,Action,Adventure,Sci-Fi,10271,3.37,1.06,457,593,47,296,260,12,1991,6.02,3.54,0.89,Thriller,Sci-Fi,Action,Mystery,Crime
329,13610,3.0,1212216242,0,1994,Adventure,Drama,Sci-Fi,5727,3.33,0.97,595,364,380,480,648,25,1991,6.64,3.22,0.84,Thriller,Action,Sci-Fi,Adventure,Mystery
940,14369,4.0,1293688654,1,1938,Action,Adventure,Romance,841,3.88,0.92,593,858,50,527,912,21,1985,15.31,4.14,0.69,Drama,Adventure,Action,Sci-Fi,Thriller
380,14369,3.5,1293689836,1,1994,Action,Adventure,Comedy,9364,3.48,0.93,919,940,593,858,50,23,1981,19.86,4.13,0.66,Adventure,Drama,Action,Sci-Fi,Thriller
420,1572,4.0,1240134766,1,1994,Action,Comedy,Crime,3164,2.74,0.98,648,377,296,"","",4,1994,0.96,3.75,0.65,Thriller,Action,Romance,Adventure,Mystery
593,1572,4.5,1240135567,1,1991,Crime,Horror,Thriller,13692,4.18,0.85,196,420,648,377,296,6,1994,0.82,3.83,0.52,Thriller,Action,Crime,Comedy,Sci-Fi
778,16974,4.0,1227451115,1,1996,Comedy,Crime,Drama,5195,4.00,0.90,741,541,750,912,69,8,1983,20.13,4.06,0.62,Comedy,Sci-Fi,Action,Thriller,Romance
858,16974,3.5,1227451452,1,1972,Crime,Drama,"",8996,4.35,0.86,318,10,661,260,671,15,1987,15.63,4.07,0.56,Comedy,Sci-Fi,Action,Adventure,Drama
296,16974,4.5,1227451561,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,527,858,318,10,661,17,1986,15.17,4.00,0.56,Comedy,Sci-Fi,Drama,Action,Adventure
316,16974,3.5,1227452097,1,1994,Action,Adventure,Sci-Fi,6915,3.35,0.94,736,364,595,165,344,36,1990,10.94,3.75,0.87,Adventure,Action,Thriller,Comedy,Drama
919,16974,4.0,1227452226,1,1939,Adventure,Children,Fantasy,5138,3.98,0.94,223,924,586,208,292,47,1990,10.25,3.74,0.78,Adventure,Action,Comedy,Thriller,Drama
788,16974,3.0,1227452285,0,1996,Comedy,Fantasy,Romance,4208,2.87,1.08,19,2,919,223,924,50,1989,12.38,3.74,0.76,Adventure,Comedy,Action,Thriller,Drama
160,16974,3.5,1227452464,1,1995,Action,Adventure,Mystery,3235,2.60,1.01,420,920,353,923,104,62,1988,15.84,3.69,0.72,Action,Adventure,Comedy,Thriller,Drama
3,16974,3.5,1227452469,1,1995,Comedy,Romance,"",2769,3.15,0.99,160,420,920,353,923,63,1988,15.74,3.69,0.72,Action,Adventure,Comedy,Thriller,Drama
593,18992,4.0,1237931264,1,1991,Crime,Horror,Thriller,13692,4.18,0.85,356,296,194,307,14,6,1994,0.75,4.33,0.82,Drama,Comedy,Romance,Thriller,Crime
