movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
99,22528,1.0,825006690,0,1995,Documentary,"","",151,3.15,1.13,105,95,110,107,2,13,1995,0.38,4.23,0.93,Adventure,Action,Thriller,Children,Drama
5,22528,4.0,825006881,1,1995,Comedy,"","",2629,3.06,0.98,117,111,105,95,110,17,1994,4.67,3.82,1.33,Drama,Thriller,Adventure,Action,Crime
377,21948,4.0,825638400,1,1994,Action,Romance,Thriller,9053,3.49,0.94,515,380,506,412,535,17,1992,2.84,3.59,1.28,Drama,Romance,Action,Thriller,Adventure
457,21948,5.0,825638400,1,1993,Thriller,"","",10736,3.97,0.78,377,515,380,506,412,19,1992,2.71,3.58,1.22,Drama,Romance,Action,Thriller,Adventure
368,21948,5.0,825638400,1,1994,Adventure,Comedy,Western,3756,3.39,0.89,508,362,357,454,509,31,1993,2.13,3.55,1.39,Drama,Romance,Thriller,Action,Adventure
26,20990,5.0,825951988,1,1995,Drama,"","",581,3.63,0.94,47,7,10,104,"",7,1995,0.53,3.14,1.77,Thriller,Comedy,Action,Romance,Adventure
2,20990,4.0,825951988,1,1995,Adventure,Children,Fantasy,4853,3.21,0.96,62,1,26,47,7,12,1995,0.45,3.58,1.56,Comedy,Thriller,Adventure,Drama,Action
1,7546,4.0,826293452,1,1995,Adventure,Animation,Children,10759,3.91,0.89,32,19,6,70,110,8,1995,0.35,4.38,0.52,Thriller,Action,Comedy,Mystery,Crime
10,7546,4.0,826293452,1,1995,Action,Adventure,Thriller,6330,3.42,0.87,1,32,19,6,70,9,1995,0.33,4.33,0.50,Thriller,Comedy,Action,Mystery,Crime
329,7546,4.0,826294657,1,1994,Adventure,Drama,Sci-Fi,5727,3.33,0.97,296,216,161,215,39,23,1995,0.47,4.30,0.56,Comedy,Thriller,Action,Drama,Crime
185,7546,4.0,826294658,1,1995,Action,Crime,Thriller,5344,3.11,0.96,328,208,327,196,175,43,1994,0.52,4.14,0.64,Comedy,Action,Thriller,Drama,Adventure
318,7546,5.0,826294658,1,1994,Crime,Drama,"",13826,4.45,0.72,322,293,303,185,328,47,1994,0.51,4.17,0.64,Action,Thriller,Comedy,Drama,Crime
112,7334,5.0,826465913,1,1995,Action,Adventure,Comedy,2577,3.41,0.95,110,16,"","","",3,1995,0.58,4.00,1.00,Drama,Action,Crime,War,""
174,7546,2.0,826621076,0,1995,Comedy,"","",450,2.43,1.09,300,50,333,312,318,53,1994,0.51,4.17,0.64,Comedy,Thriller,Action,Drama,Crime
256,7546,3.0,826621076,0,1994,Comedy,Sci-Fi,"",2181,2.73,1.02,300,50,333,312,318,54,1994,0.50,4.13,0.70,Comedy,Thriller,Action,Drama,Crime
150,20990,5.0,826794310,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,256,31,267,179,110,27,1994,0.52,3.30,1.32,Drama,Comedy,Adventure,Action,Romance
172,20990,1.0,826794310,0,1995,Action,Sci-Fi,Thriller,2722,2.70,1.03,253,266,158,153,150,34,1994,0.51,3.41,1.28,Drama,Adventure,Comedy,Action,Romance
249,20990,4.0,826794310,1,1994,Drama,Romance,"",1090,3.71,0.90,39,252,225,253,266,38,1994,0.53,3.45,1.33,Drama,Comedy,Adventure,Romance,Action
296,20990,3.0,826794311,0,1994,Comedy,Crime,Drama,14616,4.17,0.98,216,145,161,249,39,43,1994,0.52,3.47,1.33,Drama,Comedy,Romance,Adventure,Thriller
288,11825,4.0,826816194,1,1994,Action,Crime,Thriller,5165,3.24,1.18,270,280,246,"","",5,1994,0.55,4.00,1.00,Drama,Romance,Thriller,Documentary,""
300,11825,5.0,826816195,1,1994,Drama,"","",4445,3.68,0.82,282,296,145,161,39,20,1994,0.75,4.30,0.66,Drama,Thriller,Comedy,Action,Crime
256,11825,4.0,826816486,1,1994,Comedy,Sci-Fi,"",2181,2.73,1.02,196,333,315,318,316,32,1994,0.67,4.22,0.71,Drama,Thriller,Action,Crime,Comedy
32,25080,4.0,827130077,1,1995,Mystery,Sci-Fi,Thriller,9694,3.89,0.86,86,95,17,110,34,12,1995,0.51,3.67,1.30,Drama,Action,Romance,Adventure,Comedy
235,3654,4.0,827279254,1,1994,Comedy,Drama,"",3605,3.64,0.96,150,207,218,105,1,13,1993,5.29,4.54,0.66,Drama,Romance,Comedy,Thriller,Adventure
272,3654,5.0,827279255,1,1994,Comedy,Drama,"",1708,3.76,0.88,296,161,249,235,150,17,1993,4.59,4.47,0.62,Drama,Romance,Comedy,Thriller,Crime
259,3654,5.0,827279255,1,1995,Crime,Drama,Thriller,451,3.08,0.82,292,272,296,161,249,21,1993,4.13,4.19,1.08,Drama,Comedy,Romance,Thriller,Crime
10,1540,5.0,827309492,1,1995,Action,Adventure,Thriller,6330,3.42,0.87,104,65,95,110,16,7,1995,0.53,4.29,0.95,Action,Drama,Comedy,Thriller,Adventure
153,1540,4.0,827310247,1,1995,Action,Adventure,Comedy,7100,2.89,0.95,150,19,10,104,65,12,1995,0.49,4.17,0.94,Action,Adventure,Drama,Comedy,Thriller
248,1540,1.0,827310248,0,1994,Comedy,"","",682,3.03,0.96,216,161,153,150,19,20,1995,0.55,3.45,1.43,Comedy,Action,Adventure,Drama,Thriller
327,1540,2.0,827310248,0,1995,Action,Comedy,Sci-Fi,1560,2.81,1.25,216,161,153,150,19,21,1995,0.59,3.33,1.49,Comedy,Action,Adventure,Drama,Thriller
168,1540,4.0,827310248,1,1995,Action,Drama,Romance,2557,3.06,1.12,216,161,153,150,19,22,1995,0.58,3.27,1.49,Comedy,Action,Adventure,Drama,Thriller
219,1540,2.0,827310248,0,1995,Drama,"","",137,3.63,1.01,168,216,161,153,150,23,1995,0.56,3.30,1.46,Action,Drama,Comedy,Adventure,Thriller
257,1540,2.0,827310248,0,1995,Mystery,Thriller,"",814,3.42,0.88,208,227,168,216,161,26,1995,0.57,3.31,1.41,Action,Adventure,Drama,Comedy,Thriller
186,1540,2.0,827310248,0,1995,Comedy,Romance,"",2425,2.89,0.99,170,204,44,288,292,37,1994,0.55,3.30,1.33,Action,Thriller,Adventure,Drama,Crime
172,1540,1.0,827310248,0,1995,Action,Sci-Fi,Thriller,2722,2.70,1.03,253,318,170,204,44,42,1994,0.57,3.24,1.32,Action,Thriller,Drama,Adventure,Crime
315,1540,4.0,827310248,1,1994,Action,Drama,Thriller,2376,2.90,0.99,253,318,170,204,44,43,1994,0.56,3.19,1.35,Action,Thriller,Drama,Adventure,Crime
102,9552,2.0,827401443,0,1996,Comedy,"","",444,2.39,1.04,17,5,11,7,"",6,1995,0.41,3.83,0.75,Romance,Comedy,Drama,"",""
95,9552,4.0,827401443,1,1996,Action,Adventure,Thriller,4791,3.10,0.95,17,5,11,7,"",7,1995,0.49,3.57,0.98,Romance,Comedy,Drama,"",""
141,9552,5.0,827401443,1,1996,Comedy,"","",4859,3.52,0.96,95,17,5,11,7,8,1995,0.52,3.62,0.92,Romance,Comedy,Drama,Action,Thriller
276,9552,4.0,827402034,1,1994,Comedy,Romance,"",1214,2.97,0.95,352,468,282,4,57,21,1995,0.62,3.90,0.94,Drama,Comedy,Romance,Thriller,Adventure
186,9552,4.0,827402034,1,1995,Comedy,Romance,"",2425,2.89,0.99,236,158,48,153,281,40,1994,0.61,3.85,0.89,Drama,Comedy,Romance,Action,Thriller
275,9552,4.0,827402034,1,1994,Comedy,"","",331,2.76,0.94,165,289,237,318,186,45,1994,0.60,3.89,0.86,Comedy,Drama,Romance,Action,Thriller
252,9552,4.0,827402034,1,1994,Comedy,Romance,"",2189,3.22,0.85,225,275,165,289,237,48,1994,0.62,3.85,0.87,Comedy,Drama,Romance,Action,Thriller
31,28062,5.0,827497762,1,1995,Drama,"","",2033,3.28,0.94,273,317,296,2,21,9,1994,0.50,4.33,1.00,Drama,Comedy,Thriller,Crime,Sci-Fi
293,28062,4.0,827497762,1,1994,Action,Crime,Drama,5587,4.06,0.81,319,177,257,31,273,16,1994,0.51,4.25,1.00,Drama,Thriller,Comedy,Crime,Sci-Fi
249,28062,5.0,827497762,1,1994,Drama,Romance,"",1090,3.71,0.90,339,39,265,253,318,35,1994,0.65,4.11,1.11,Drama,Comedy,Thriller,Romance,Crime
168,12987,5.0,827686737,1,1995,Action,Drama,Romance,2557,3.06,1.12,34,282,1,17,"",5,1994,0.45,4.20,0.84,Drama,Children,Romance,Adventure,Fantasy
329,12987,4.0,827686738,1,1994,Adventure,Drama,Sci-Fi,5727,3.33,0.97,207,262,265,318,236,17,1994,0.80,4.18,0.95,Drama,Romance,Children,Action,Adventure
159,2729,5.0,827871847,1,1995,Crime,Drama,Mystery,495,3.43,0.86,281,293,241,303,288,19,1994,0.61,3.84,1.12,Drama,Thriller,Action,Crime,Sci-Fi
265,2729,3.0,827871847,0,1992,Drama,Fantasy,Romance,2622,3.89,0.98,306,165,237,318,316,25,1994,0.58,4.04,1.06,Drama,Action,Thriller,Crime,Sci-Fi
196,2729,4.0,827871847,1,1995,Horror,Sci-Fi,"",2957,2.85,0.98,215,306,165,237,318,27,1994,0.74,4.04,1.06,Drama,Action,Thriller,Crime,Sci-Fi
230,3169,5.0,827912107,1,1995,Drama,Thriller,"",1614,3.61,0.87,300,47,296,17,"",13,1994,0.48,3.08,1.50,Drama,Thriller,Romance,Mystery,Crime
253,3169,4.0,827912107,1,1994,Drama,Horror,"",6010,3.50,0.94,342,266,292,230,300,21,1994,0.48,3.10,1.41,Drama,Thriller,Romance,Comedy,Action
150,24474,5.0,827925258,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,231,270,329,208,168,10,1994,0.52,3.90,1.45,Drama,Action,Adventure,Sci-Fi,Romance
296,19281,5.0,827930031,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,1,32,"","","",2,1995,0.00,4.50,0.71,Sci-Fi,Thriller,Adventure,Mystery,Fantasy
317,19281,4.0,827930031,1,1994,Comedy,Drama,Fantasy,3486,3.14,1.00,296,1,32,"","",4,1994,0.50,4.25,0.96,Thriller,Comedy,Sci-Fi,Adventure,Mystery
688,19281,3.0,827930031,0,1995,Action,Adventure,Comedy,654,2.67,1.08,60,329,257,208,274,14,1994,0.50,4.21,0.70,Drama,Thriller,Adventure,Comedy,Sci-Fi
292,19281,4.0,827930031,1,1995,Action,Drama,Sci-Fi,5649,3.40,0.86,60,329,257,208,274,15,1994,0.49,4.13,0.74,Drama,Thriller,Adventure,Comedy,Sci-Fi
161,19281,5.0,827930031,1,1995,Drama,Thriller,War,5113,3.74,0.80,333,339,252,165,318,34,1994,0.46,3.97,0.80,Comedy,Drama,Action,Thriller,Adventure
36,2229,5.0,827933704,1,1995,Crime,Drama,"",4547,3.94,0.90,25,95,"","","",2,1995,0.71,5.00,0.00,Action,Romance,Thriller,Adventure,Drama
19,2229,2.0,827935880,0,1995,Comedy,"","",4501,2.62,1.16,45,608,36,25,95,5,1995,0.55,4.60,0.55,Drama,Thriller,Crime,Comedy,Action
257,2229,4.0,827935881,1,1995,Mystery,Thriller,"",814,3.42,0.88,300,223,434,150,144,13,1994,1.12,4.15,0.90,Drama,Thriller,Comedy,Adventure,Action
288,2229,3.0,827935881,0,1994,Action,Crime,Thriller,5165,3.24,1.18,233,246,257,300,223,16,1994,1.03,4.25,0.86,Drama,Thriller,Comedy,Adventure,Action
349,14313,4.0,827949133,1,1994,Action,Crime,Drama,6309,3.64,0.81,34,348,595,"","",4,1993,1.73,4.25,0.96,Children,Romance,Musical,IMAX,Fantasy
315,14313,3.0,827949134,0,1994,Action,Drama,Thriller,2376,2.90,0.99,225,318,316,48,380,24,1994,1.35,3.88,0.95,Drama,Thriller,Action,Crime,Comedy
434,14313,4.0,827949476,1,1993,Action,Adventure,Thriller,5380,3.06,0.92,553,590,151,333,339,30,1993,1.46,3.87,0.86,Drama,Action,Comedy,Thriller,Romance
344,14313,4.0,827949476,1,1994,Comedy,"","",8273,2.98,1.11,410,434,553,590,151,32,1993,1.43,3.88,0.83,Drama,Action,Comedy,Thriller,Romance
23,14313,4.0,827949476,1,1995,Action,Crime,Thriller,871,3.14,0.95,344,410,434,553,590,33,1993,1.41,3.88,0.82,Drama,Comedy,Action,Thriller,Romance
276,14313,3.0,827949477,0,1994,Comedy,Romance,"",1214,2.97,0.95,235,588,23,344,410,40,1993,1.34,3.83,0.81,Drama,Comedy,Action,Thriller,Romance
39,21326,5.0,828021782,1,1995,Comedy,Romance,"",5741,3.42,0.98,265,222,236,148,150,20,1994,1.04,4.00,1.30,Drama,Romance,Comedy,Thriller,Musical
282,21326,4.0,828021783,1,1994,Drama,"","",2426,3.39,1.00,272,590,262,249,39,29,1994,1.22,3.86,1.33,Drama,Romance,Comedy,Children,Thriller
314,21326,5.0,828021783,1,1994,Children,Drama,Fantasy,946,3.85,0.92,294,280,452,309,279,41,1994,1.07,3.71,1.33,Drama,Romance,Comedy,Thriller,Children
301,21326,4.0,828021783,1,1994,Drama,Romance,"",121,3.57,0.83,342,289,314,294,280,45,1994,1.02,3.76,1.33,Drama,Romance,Comedy,Children,Thriller
343,1947,4.0,828025539,1,1995,Children,"","",228,2.59,1.14,34,595,54,"","",3,1993,2.31,4.33,0.58,Children,Romance,Musical,IMAX,Fantasy
