movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
293,5544,5.0,1157324174,1,1994,Action,Crime,Drama,5587,4.06,0.81,50,1,260,520,904,10,1988,13.41,4.20,0.95,Comedy,Action,Thriller,Adventure,Mystery
953,7469,4.5,1157324692,1,1946,Drama,Fantasy,Romance,3081,4.04,0.99,910,34,302,911,954,88,1986,16.05,3.59,1.34,Drama,Thriller,Crime,Comedy,Romance
628,5544,5.0,1157325298,1,1996,Crime,Drama,Mystery,2458,3.74,0.83,235,555,589,529,671,17,1990,10.38,4.41,0.81,Comedy,Action,Thriller,Sci-Fi,Crime
858,5544,5.0,1157325637,1,1972,Crime,Drama,"",8996,4.35,0.86,150,527,480,296,110,32,1992,7.74,4.58,0.66,Thriller,Comedy,Action,Drama,Crime
47,5544,5.0,1157325678,1,1995,Mystery,Thriller,"",9335,4.06,0.87,858,150,527,480,296,35,1991,8.17,4.50,0.74,Thriller,Drama,Comedy,Action,Crime
367,5544,4.0,1157325747,1,1994,Action,Comedy,Crime,7577,3.16,1.00,32,593,597,364,780,41,1991,7.61,4.55,0.71,Thriller,Drama,Comedy,Action,Crime
733,5544,4.5,1157325782,1,1996,Action,Adventure,Thriller,6837,3.65,0.92,10,316,367,32,593,44,1992,7.37,4.55,0.69,Thriller,Action,Comedy,Drama,Adventure
186,7835,2.0,1157382487,0,1995,Comedy,Romance,"",2425,2.89,0.99,412,509,337,555,342,100,1991,8.85,2.66,0.97,Drama,Thriller,Comedy,Crime,Romance
908,26863,5.0,1157400957,1,1959,Action,Adventure,Mystery,3429,4.23,0.74,47,296,904,260,527,16,1986,13.84,4.19,0.70,Thriller,Drama,Mystery,Crime,Sci-Fi
912,14047,3.5,1157409109,1,1942,Drama,Romance,"",5256,4.27,0.85,908,923,920,"","",5,1965,27.25,3.30,0.84,Romance,Mystery,Drama,Action,Thriller
122,15203,3.5,1157411441,1,1992,Comedy,Romance,"",814,2.83,0.95,69,493,999,215,934,100,1993,8.29,2.87,1.01,Drama,Comedy,Romance,Thriller,Crime
125,15203,3.5,1157411457,1,1996,Comedy,"","",788,3.71,0.93,122,69,493,999,215,100,1993,8.29,2.88,1.01,Drama,Comedy,Romance,Thriller,Crime
329,23877,1.5,1157486235,0,1994,Adventure,Drama,Sci-Fi,5727,3.33,0.97,562,288,942,671,493,100,1989,14.35,2.00,1.42,Drama,Crime,Comedy,Thriller,Action
168,23877,1.0,1157486541,0,1995,Action,Drama,Romance,2557,3.06,1.12,39,562,288,942,671,100,1990,13.24,1.97,1.37,Drama,Crime,Comedy,Thriller,Romance
782,15203,3.0,1157490978,0,1996,Drama,Thriller,"",604,2.89,0.94,694,448,289,267,1,100,1992,8.27,2.93,1.04,Drama,Comedy,Romance,Thriller,Crime
42,15203,3.0,1157491839,0,1995,Action,Crime,Drama,531,3.12,0.88,322,861,694,448,289,100,1993,6.39,2.87,1.01,Drama,Comedy,Romance,Crime,Thriller
750,5544,5.0,1157502269,1,1964,Comedy,War,"",5151,4.24,0.88,541,586,141,39,292,56,1992,6.78,4.46,0.69,Thriller,Action,Comedy,Adventure,Drama
111,5544,5.0,1157502583,1,1976,Crime,Drama,Thriller,5305,4.12,0.85,6,913,223,912,954,63,1989,13.78,4.50,0.67,Thriller,Action,Comedy,Drama,Adventure
454,5544,3.5,1157503231,1,1993,Drama,Thriller,"",5500,3.51,0.81,587,500,595,923,599,71,1987,15.30,4.50,0.65,Thriller,Comedy,Action,Drama,Adventure
